name,director,score,genre,year,votes
哈利·波特与死亡圣器(上),大卫·叶茨,8.6,美国 / 奇幻,2010,698990
无耻混蛋,昆汀·塔伦蒂诺,8.7,美国 / 剧情,2009,565497
终结者2：审判日,詹姆斯·卡梅隆,8.8,法国 / 动作,1991,387584
大红灯笼高高挂,张艺谋,8.8,中国台湾 / 剧情,1991,374724
黑天鹅,达伦·阿罗诺夫斯基,8.6,美国 / 剧情,2010,849211
新龙门客栈,李惠民,8.7,中国大陆 / 动作,1992,512162
初恋这件小事,普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn,8.5,泰国 / 剧情,2010,1054202
千钧一发,安德鲁·尼科尔,8.8,美国 / 剧情,1997,352398
人工智能,史蒂文·斯皮尔伯格,8.7,美国 / 剧情,2001,504635
崖上的波妞,宫崎骏,8.6,日本 / 动画,2008,577746
雨人,巴瑞·莱文森,8.7,美国 / 剧情,1988,444369
虎口脱险,杰拉尔·乌里,8.9,英国 / 喜剧,1966,297515
哈利·波特与凤凰社,大卫·叶茨,8.6,美国 / 奇幻,2007,698892
彗星来的那一夜,詹姆斯·沃德·布柯特,8.6,英国 / 科幻,2013,688402
罗生门,黑泽明,8.8,日本 / 剧情,1950,359868
海边的曼彻斯特,肯尼斯·罗纳根,8.6,美国 / 剧情,2016,656192
恋恋笔记本,尼克·卡索维茨,8.5,美国 / 剧情,2004,752037
火星救援,雷德利·斯科特,8.5,约旦 / 剧情,2015,840315
真爱至上,理查德·柯蒂斯,8.5,法国 / 喜剧,2003,810399
黑客帝国2：重装上阵,拉娜·沃卓斯基 Lana Wachowski,8.7,美国 / 动作,2003,457358
冰雪奇缘,克里斯·巴克 Chris Buck,8.5,美国 / 喜剧,2013,834410
步履不停,是枝裕和,8.8,日本 / 剧情,2008,329559
奇迹男孩,斯蒂芬·卓博斯基,8.6,中国香港 / 剧情,2017,602381
千年女优,今敏,8.8,日本 / 动画,2001,319541
战争之王,安德鲁·尼科尔,8.7,德国 / 剧情,2005,417119
谍影重重2,保罗·格林格拉斯,8.7,德国 / 动作,2004,401441
蜘蛛侠：平行宇宙,鲍勃·佩尔西凯蒂 Bob Persichetti,8.6,美国 / 动作,2018,759905
攻壳机动队,押井守,9.0,日本 / 动作,1995,219554
血钻,爱德华·兹威克,8.7,英国 / 剧情,2006,423329
小姐,朴赞郁,8.5,韩国 / 剧情,2016,579780
隐藏人物,特奥多尔·梅尔菲,8.9,美国 / 剧情,2016,274294
血观音,杨雅喆,8.6,中国台湾 / 剧情,2017,566501
魂断蓝桥,茂文·勒鲁瓦,8.8,美国 / 剧情,1940,311761
房间,伦尼·阿伯拉罕森,8.7,美国 / 剧情,2015,401056
